FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area
1452,10006448,MECKLENBURG COUNTY JAIL NORTH - ANNEX,5235 SPECTOR DR,CHARLOTTE,NC,28269,-999,(980) 314-5100,COUNTY,NOT AVAILABLE,-999,MECKLENBURG,37119,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.mecksheriff.com/detention.asp,2018/04/03 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,http://www.mecksheriff.com/detention.asp,MEDIUM,-999,0.00599292581027,{E0F6F890-D61F-4491-A4D2-ACC320BA7743},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,728.828289512615,2.17064322603e-06
1453,10000505,DESOTO JUVENILE CORRECTIONAL FACILITY,5991 SE HWY 31,ARCADIA,FL,34266,-999,NOT AVAILABLE,STATE,CLOSED,0,DESOTO,12027,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.nbc-2.com/story/15370880/2011/08/Wednesday/djj-closes-doors-hundreds-left-without-work,2011/08/31 00:00:00+00,IMAGERY/OTHER,2019/12/12 00:00:00+00,NOT AVAILABLE,JUVENILE,-999,0.00666057474093,{C045E7C7-DC78-4556-9379-107A9C08B8B2},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,793.821238664615,2.33866682752e-06
1454,10003761,YUKON KUSKOKWIM CORRECTIONAL CENTER,1000 CHIEF EDDIE HOFFMAN HWY.,BETHEL,AK,99559,-999,(907) 543-5245,STATE,OPEN,170,BETHEL,02050,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.correct.state.ak.us/administrative-services/research-records, http://www.correct.state.ak.us/doc/corrections-staffing-report.pdf",2016/02/09 00:00:00+00,IMAGERY/OTHER,2019/11/06 00:00:00+00,http://www.correct.state.ak.us/institutions,CLOSE,232,0.00521845256271,{E5FDABFE-AA5F-4CD6-BEBA-C9CD67864CE8},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,757.988767895687,1.39734984276e-06
1455,10001559,MARYLAND CORRECTIONAL INSTITUTION FOR WOMEN,7943 BROCK BRIDGE RD,JESSUP,MD,20794,-999,(410) 379-3800,STATE,OPEN,777,ANNE ARUNDEL,24003,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016/06/30 00:00:00+00,IMAGERY/OTHER,2019/12/16 00:00:00+00,http://dpscs.maryland.gov/locations/mciw.shtml,MAXIMUM,800,0.0122042733898,{100C85CB-654E-4714-B425-7DDBCADED531},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1529.64403274731,9.63829995636e-06
1456,10005853,LINCOLN COUNTY JAIL,65 BUSINESS PARK DRIVE,TROY,MO,63379,-999,(636) 462-6503,COUNTY,OPEN,-999,LINCOLN,29113,USA,922140,CORRECTIONAL INSTITUTIONS,http://lcsomo.com/jail-division/,2018/03/26 00:00:00+00,IMAGERY/OTHER,2020/01/31 00:00:00+00,http://lcsomo.com/jail-division/,NOT AVAILABLE,-999,0.00244182873925,{DBEF6EAD-23BD-4CDB-B2F6-EB9CE1DE527D},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,305.050822733452,3.05352174164e-07
1457,10004174,WAKE CORRECTIONAL CENTER,1000 ROCK QUARRY RD,RALEIGH,NC,27610,-999,(919) 733-7988,STATE,OPEN,407,WAKE,37183,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Wake-Correctional-Center,2017/10/31 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Wake-Correctional-Center,MINIMUM,414,0.00610876470141,{75D8B7A8-19F8-4ED3-A25D-8F0C6BD1EB1C},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,741.152193862328,1.6058208785e-06
1458,10004010,OCEAN COUNTY JUVENILE DETENTION CENTER,165 SUNSET AVE,TOMS RIVER,NJ,08754,-999,(732) 341-1365,COUNTY,OPEN,21,OCEAN,34029,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.ocean.nj.us/OC/JuvServices/frmHomeJuvServices.aspx,2016/02/15 00:00:00+00,IMAGERY/OTHER,2020/02/04 00:00:00+00,http://www.co.ocean.nj.us/OC/JuvServices/frmHomeJuvServices.aspx,JUVENILE,30,0.00510704772412,{D91511DE-981A-4A30-99BD-4A606F4BAFEA},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,621.474214328779,1.02884203649e-06
1459,10006042,HARMON COUNTY JAIL,105 W JONES ST,HOLLIS,OK,73550,3003,(580) 688-3306,COUNTY,OPEN,-999,HARMON,40057,USA,922140,CORRECTIONAL INSTITUTIONS,http://public.esquireempire.com/Harmon+County+Jail+in+Hollis+Oklahoma,2018/04/13 00:00:00+00,IMAGERY/OTHER,2020/01/21 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,-999,0.00120463673063,{8A53D4A7-3464-4A70-AE04-EBDD13C8DCBE},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,139.869657169401,5.78567821357e-08
1460,10002464,KITSAP COUNTY JAIL,614 DIVISION ST,PORT ORCHARD,WA,98366,-999,(360) 337-7108,COUNTY,OPEN,439,KITSAP,53035,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.kitsapgov.com/sheriff/Pages/corrections.aspx,2018/05/07 00:00:00+00,IMAGERY/OTHER,2020/02/26 00:00:00+00,https://www.kitsapgov.com/sheriff/Pages/corrections.aspx,MAXIMUM,544,0.010105670072,{A7F5D6E9-7C69-4E64-8F94-F3615CC6A16A},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1288.6179257188,1.73951252293e-06
1461,10006201,FCI HAZELTON,1640 SKY VIEW DR.,BRUCETON MILLS,WV,26525,-999,(304) 379-1500,FEDERAL,OPEN,1337,PRESTON,54077,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/haf/,2016/02/16 00:00:00+00,IMAGERY/OTHER,2020/03/03 00:00:00+00,https://www.bop.gov/locations/institutions/haf/,MEDIUM,1152,0.0182175252044,{BC287968-1314-4770-BCEE-2D7B087E2E86},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2349.4559819597,2.05780444498e-05
1462,10006030,CADDO COUNTY JAIL,201 WEST OKLAHOMA,ANADARKO,OK,73005,-999,(405) 247-6666,COUNTY,OPEN,-999,CADDO,40015,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.oklahomasheriffs.org/app/web/sheriff/county,2018/04/13 00:00:00+00,IMAGERY/OTHER,2020/01/21 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,-999,0.00426613088054,{DC18C857-7B84-4481-ADD6-2DFA3242A82C},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,514.150098167444,5.42725787072e-07
1463,10001546,MARYLAND CORRECTIONAL TRAINING CENTER,18800 ROXBURY RD,HAGERSTOWN,MD,21746,-999,(240) 420-1601,STATE,OPEN,2436,WASHINGTON,24043,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016/06/30 00:00:00+00,IMAGERY/OTHER,2019/12/16 00:00:00+00,http://dpscs.maryland.gov/locations/mctc.shtml,MEDIUM,2417,0.0205239359724,{63213AF5-AD82-415C-9DD4-8CFC6BF4A6FA},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2504.74380868815,2.24858359321e-05
1464,10000918,"MD RECEPTION, DIAGNOSTIC AND CLASSIFICATION CENTER",550 E MADISON ST,BALTIMORE,MD,21202,-999,(410) 878-3500,STATE,OPEN,352,BALTIMORE (CITY),24510,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/locations/mrdcc.shtml,2016/06/30 00:00:00+00,IMAGERY/OTHER,2019/12/16 00:00:00+00,http://www.dpscs.maryland.gov/locations/prisons.shtml,MAXIMUM,700,0.00215537647378,{D5FD5345-352F-41E3-89EE-605D913F40AD},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,267.739113571875,2.27919272426e-07
1465,10001745,CI RIVERS,145 PARKER'S FISHERY RD,WINTON,NC,27986,-999,(252) 358-5200,FEDERAL,OPEN,1217,HERTFORD,37091,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bop.gov/about/statistics/population_statistics.jsp, https://www.geogroup.com/Locations",2017/10/05 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,https://www.geogroup.com/Locations#us-corrections,NOT AVAILABLE,1450,0.0122530551237,{0D586AB0-5DBC-4539-892F-A1AD7A0E4B0E},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1507.66901689425,9.93034563782e-06
1466,10000853,EL PASO DE ROBLES YOUTH CORRECTIONAL FACILITY,4545 AIRPORT RD,PASO ROBLES,CA,93446,-999,NOT AVAILABLE,STATE,CLOSED,0,SAN LUIS OBISPO,06079,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.sanluisobispo.com/2012/01/30/1928757/state-wavers-paso-correctional.html, http://www.cdcr.ca.gov/news/cdcr_news_aug-sept_2008/page_6.html",2015/11/01 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,NOT AVAILABLE,JUVENILE,-999,0.0211687846861,{2948533C-1F37-4AE1-BD59-23112934994C},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2626.14895648402,2.87220232569e-05
1467,10000823,TULARE COUNTY MEN'S CORRECTIONAL FACILITY,36168 ROAD 112,VISALIA,CA,93291,-999,(559) 735-1650,COUNTY,OPEN,349,TULARE,06107,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2018/02/16 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://tularecounty.ca.gov/sheriff/index.cfm/detentions1/detentions-operations/,NOT AVAILABLE,-999,0.0058665013439,{28A28CCA-E418-48E0-AF38-93F0A57ACA13},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,709.17988479254,1.55167363459e-06
1468,10000894,LOS ANGELES COUNTY SYBIL BRAND INSTITUTE FOR WOMEN,4500 E CITY TERRACE DR,LOS ANGELES,CA,90063,-999,NOT AVAILABLE,COUNTY,CLOSED,0,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,http://articles.latimes.com/2007/oct/16/local/me-sybil16,2016/02/15 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,NOT AVAILABLE,MAXIMUM,-999,0.0065787386319,{8C6A96C0-5470-421A-A031-5D0A80387792},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,820.69351104034,2.71431976819e-06
1469,10000158,BRIDGEPORT PRE-PAROLE TRANSFER FACILITY,222 LAKE RD,BRIDGEPORT,TX,76426,-999,(940) 683-2162,STATE,CLOSED,0,WISE,48497,USA,922140,CORRECTIONAL INSTITUTIONS,http://amarillo.com/local-news/news/2017-06-02/brownfield-lose-250k-plus-annually-state-prison-closes-today,2017/06/02 00:00:00+00,IMAGERY/OTHER,2020/02/11 00:00:00+00,http://tdcj.state.tx.us/unit_directory/t1.html,MINIMUM,200,0.00576551808802,{5A844513-B9CA-4410-8A4D-917F86A1383B},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,721.364523764712,1.42446043143e-06
1470,10000177,JONES COUNTY JAIL,1100 11TH ST,ANSON,TX,79501,-999,(325) 823-3201,COUNTY,OPEN,62,JONES,48253,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, http://www.co.jones.tx.us/page/jones.Sheriff, https://www.texasjailproject.org/list_of_county_jails/",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/02/21 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,96,0.00186542202539,{194E2104-0509-410E-AE94-8960C2086ED1},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,225.842617059302,2.15796056903e-07
1471,10002600,MILWAUKEE WOMEN'S CORRECTIONAL CENTER,615 W KEEFE AVE,MILWAUKEE,WI,53212,-999,(414) 267-6101,STATE,OPEN,106,MILWAUKEE,55079,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.wi.gov/DataResearch/WeeklyPopulationReports/02212020.pdf,2018/01/12 00:00:00+00,IMAGERY/OTHER,2020/03/02 00:00:00+00,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MilwaukeeWomensCorrectionalCenter.aspx,MINIMUM,42,0.0043022426879,{D5F44F68-02FC-4B0B-AC3B-933ECC4087C6},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,549.708612067934,6.81260722343e-07
1472,10002560,SANGER B. POWERS CORRECTIONAL CENTER,N8375 COUNTY LINE RD,ONEIDA,WI,54155,9300,(920) 869-1095,STATE,OPEN,119,OUTAGAMIE,55087,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.wi.gov/Pages/DataResearch/DataAndReports.aspx,2018/01/12 00:00:00+00,IMAGERY/OTHER,2020/03/02 00:00:00+00,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/SangerBPowersCorrectionalCenter.aspx,MINIMUM,60,0.0033237767124,{270E8814-5D30-45B2-8CEE-B750C30BD2C7},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,451.097894053214,3.91284661573e-07
1473,10000255,CAMERON COUNTY DETENTION CENTER 2,1145 E HARRISON,BROWNSVILLE,TX,78520,-999,(956) 544-0814,COUNTY,OPEN,348,CAMERON,48061,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.cameron.tx.us/sheriffs/sheriffsoffice.html,2018/04/25 00:00:00+00,IMAGERY/OTHER,2020/02/11 00:00:00+00,http://www.co.cameron.tx.us/sheriffs/sheriffsoffice.html,NOT AVAILABLE,-999,0.00255593444928,{5258B16D-4BC7-4545-AE78-EFC038D806B2},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,298.16779239236,3.53509930853e-07
1474,10001543,NORTH BRANCH CORRECTIONAL INSTITUTION,14100 MCMULLEN HWY SW,CUMBERLAND,MD,21502,-999,(301) 729-7400,STATE,OPEN,1252,ALLEGANY,24001,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016/06/30 00:00:00+00,IMAGERY/OTHER,2019/12/16 00:00:00+00,http://dpscs.maryland.gov/locations/nbci.shtml,MAXIMUM,1400,0.0170223564867,{1F16A0CA-D26E-4C66-9051-39277194078D},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2140.88579217919,1.38381460208e-05
1475,10002639,BUNCOMBE CORRECTIONAL CENTER,HWY 251 N,ASHEVILLE,NC,28814,-999,(828) 645-7630,STATE,CLOSED,0,BUNCOMBE,37021,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www2.ncdps.gov/Index2.cfm?a=000003,002240,002324",2015/11/13 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,"https://www.ncdps.gov/Index2.cfm?a=000003,002240,002324",MINIMUM,182,0.00301523216185,{52C0819E-3F8E-4C1E-9749-8B3D3364FD49},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,371.076880489225,3.97078108185e-07
1476,10004153,WILKES CORRECTIONAL CENTER,404 STATESVILLE RD,NORTH WILKESBORO,NC,28659,-999,(336) 667-4533,STATE,OPEN,266,WILKES,37193,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Wilkes-Correctional-Center,2017/10/31 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Wilkes-Correctional-Center,MINIMUM,268,0.00463813982198,{563CF33C-EDED-48F1-B746-FF934AE36C2B},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,575.236891319425,1.02441524538e-06
1477,10001802,NEW HANOVER REGIONAL JUVENILE DETENTION CENTER,3830 JUVENILE CENTER RD,CASTLE HAYNE,NC,28429,-999,(910) 675-0594,STATE,OPEN,-999,NEW HANOVER,37129,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/juvenile-justice/juvenile-facility-operations/juvenile-detention-centers#new-hanover,2017/12/12 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,https://www.ncdps.gov/juvenile-justice/juvenile-facility-operations/juvenile-detention-centers#new-hanover,JUVENILE,18,0.00189881374539,{5F24A405-D7D7-4322-B78B-4DA953866BA2},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,233.354384603085,1.34769061219e-07
1478,10004040,POPLAR HILL PRE-RELEASE UNIT,24090 NANTICOKE RD,QUANTICO,MD,21856,-999,(410) 845-4580,STATE,OPEN,194,WICOMICO,24045,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016/06/30 00:00:00+00,IMAGERY/OTHER,2019/12/16 00:00:00+00,http://dpscs.maryland.gov/rehabservs/doc/work.shtml,MINIMUM,192,0.00490769721926,{278FE3B1-6200-428C-97BA-352D29E78A2F},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,598.748403463339,3.49973916151e-07
1479,10000233,COMAL COUNTY JAIL,3005 W SAN ANTONIO ST,NEW BRAUNFELS,TX,78130,-999,(830) 620-3450,COUNTY,OPEN,269,COMAL,48091,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, http://www.co.comal.tx.us/SO/",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,http://www.co.comal.tx.us/SO/,NOT AVAILABLE,337,0.00430978668274,{7DC5FA9B-951F-496B-AF7E-425281D71F7C},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,505.892117375405,7.58684066323e-07
1480,10000240,EVER CHANGE ACADEMY,805 MCHAUGHTEN,HONDO,TX,78861,-999,NOT AVAILABLE,COUNTY,CLOSED,0,MEDINA,48325,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.kens5.com/article/news/local/hondo-academy-for-troubled-youth-shuts-down-unexpectedly/273-349189273,2018/05/02 00:00:00+00,IMAGERY/OTHER,2020/02/14 00:00:00+00,NOT AVAILABLE,JUVENILE,26,0.00640037417618,{7AAD12C3-1644-406D-B991-1E3A3ED28813},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,768.131893875767,2.53918866456e-06
1481,10004185,PITT REGIONAL JUVENILE DETENTION CENTER,451 BELVOIR RD,GREENVILLE,NC,27834,-999,(252) 830-6590,STATE,OPEN,-999,PITT,37147,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/juvenile-justice/juvenile-facility-operations/juvenile-detention-centers#pitt,2017/12/12 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,https://www.ncdps.gov/juvenile-justice/juvenile-facility-operations/juvenile-detention-centers#pitt,JUVENILE,18,0.00194291805107,{2341CA1A-9DDE-4D4D-AE68-DFC0411A6B45},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,236.976997157358,1.81262983444e-07
1482,10001151,CROSSROADS CORRECTIONAL CENTER,50 CROSSROADS DR,SHELBY,MT,59474,-999,(406) 434-7055,MULTI,OPEN,604,TOOLE,30101,USA,922140,CORRECTIONAL INSTITUTIONS,https://cor.mt.gov/FamilyFriends/VisitingCrossroads,2017/10/12 00:00:00+00,IMAGERY/OTHER,2020/01/31 00:00:00+00,https://cor.mt.gov/FamilyFriends/VisitingCrossroads,MAXIMUM,664,0.0121096553095,{532BEA5C-279A-4696-83C5-915FE4F775F5},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1619.72475291074,9.45264863865e-06
1483,10000250,DUVAL COUNTY JAIL,401 E COLLINS AVE,SAN DIEGO,TX,78384,-999,(361) 279-3351,COUNTY,OPEN,29,DUVAL,48131,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,33,0.0025361857981,{F8BCAA73-EA05-4880-99E3-3C87624E07B9},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,299.704748164098,2.15586636338e-07
1484,10000217,R. J. HOLMGREEN JUVENILE JUSTICE CENTER,1904 W STATE HWY 21,BRYAN,TX,77803,-999,(979) 823-3544,COUNTY,OPEN,-999,BRAZOS,48041,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.tjjd.texas.gov/publications/other/searchfacilityregistryresults.aspx?SelectedFacilityType=YKSBbGCMUWM=&SelectedSortBy=laExhobORj5ZHimppFKN0Q==&IncludeInactive=bZL7qeN3IjY=,2018/04/25 00:00:00+00,IMAGERY/OTHER,2020/02/27 00:00:00+00,http://www.brazoscountytx.gov/index.aspx?nid=137,JUVENILE,48,0.00387008604319,{890EF7CA-A364-4C24-9BD7-78813D2602F5},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,465.692471345504,6.17416256027e-07
1485,10000251,EVINS REGIONAL JUVENILE DETENTION CENTER,3801 E MONTE CRISTO RD,EDINBURG,TX,78541,-999,(956) 289-5500,STATE,OPEN,136,HIDALGO,48215,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.tjjd.texas.gov/programs/prea.aspx,2017/05/11 00:00:00+00,IMAGERY/OTHER,2020/02/14 00:00:00+00,http://www.tjjd.texas.gov/programs/facilities_list.aspx,JUVENILE,176,0.0162549919048,{ADC93749-283A-4A75-984C-8DDE23C16BE9},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1900.34125858161,1.74446210488e-05
1486,10001768,WAKE REGIONAL JUVENILE DETENTION CENTER,700 BEACON LAKE DR,RALEIGH,NC,27610,-999,(919) 212-3104,STATE,OPEN,-999,WAKE,37183,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/juvenile-justice/juvenile-facility-operations/juvenile-detention-centers#wake,2017/12/13 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,https://www.ncdps.gov/juvenile-justice/juvenile-facility-operations/juvenile-detention-centers#wake,JUVENILE,24,0.00219615242496,{6B8F970F-6F68-4DCE-915A-AE139184EFAA},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,273.55095777731,1.28061321579e-07
1487,10002367,ALFRED D NOYES CHILDREN'S CENTER,9925 BLACKWELL RD,ROCKVILLE,MD,20850,-999,(301) 315-1610,STATE,OPEN,28,MONTGOMERY,24031,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.djs.state.md.us/Pages/Publications.aspx, http://www.djs.state.md.us/Pages/facilities/index.aspx",2017/10/13 00:00:00+00,IMAGERY/OTHER,2019/12/16 00:00:00+00,https://djs.maryland.gov/Pages/facilities/Alfred-D-Noyes-Children-Center.aspx,JUVENILE,57,0.0042820312207,{366E36C8-B474-47BB-AE47-4410D9581498},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,539.921493512476,6.8517466032e-07
1488,10006216,CHATHAM YOUTH DEVELOPMENT CENTER,560 PROGRESS BLVD.,SILER CITY,NC,27344,-999,(919) 742-6220,STATE,OPEN,61,CHATHAM,37037,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/juvenile-justice/juvenile-facility-operations/youth-development-centers#chatham,2017/10/01 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,https://www.ncdps.gov/juvenile-justice/juvenile-facility-operations/youth-development-centers#chatham,JUVENILE,32,0.0030694055315,{579F674A-AA31-4751-867C-E09F3C0B274B},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,377.285190052165,5.70349804562e-07
1489,10001567,SOUTHERN MARYLAND PRE-RELEASE UNIT,14320 OAKS RD,CHARLOTTE HALL,MD,20622,-999,(301) 274-4701,STATE,OPEN,171,CHARLES,24017,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016/06/30 00:00:00+00,IMAGERY/OTHER,2019/12/16 00:00:00+00,http://dpscs.maryland.gov/locations/smpru.shtml,MINIMUM,165,0.00506430560532,{4EC11199-8550-4576-B208-3F500E3CC74C},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,608.092297788408,5.32899057412e-07
1490,10001542,WESTERN CORRECTIONAL INSTITUTION,13800 MCMULLEN HWY SW,CUMBERLAND,MD,21502,-999,(301) 729-7000,STATE,OPEN,1606,ALLEGANY,24001,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016/06/30 00:00:00+00,IMAGERY/OTHER,2019/12/16 00:00:00+00,http://www.dpscs.maryland.gov/locations/wci.shtml,MAXIMUM,1630,0.0184885024451,{9520AAF1-BFFB-47A0-8FB8-0B814494AE87},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2372.4760106875,1.63082556964e-05
1491,10000239,MEDINA COUNTY JAIL,801 AVENUE Y,HONDO,TX,78861,-999,(830) 741-6058,COUNTY,OPEN,70,MEDINA,48325,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, http://www.medinacountytexas.org/default.aspx?Medina_County/Sheriff",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/02/25 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,96,0.00362793381947,{C332939A-B0E4-4ADC-BA94-01315F5D26B7},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,428.563227648579,6.66510923202e-07
